,time_hm,size
0,0,2
1,1,3
2,3,3
3,4,1
4,5,1
5,6,2
6,8,2
7,10,3
8,11,1
9,13,4
10,14,1
11,15,4
12,16,5
13,18,3
14,20,3
15,21,1
16,22,2
17,23,1
18,24,5
19,25,2
20,26,6
21,27,1
22,28,1
23,30,2
24,33,2
25,34,1
26,35,4
27,36,8
28,41,2
29,42,1
30,43,2
31,46,3
32,47,2
33,49,2
34,51,6
35,53,4
36,55,4
37,56,5
38,57,2
39,58,5
40,61,4
41,62,1
42,63,1
43,64,2
44,65,2
45,66,1
46,67,3
47,68,3
48,69,3
49,71,4
50,72,1
51,73,2
52,75,2
53,76,1
54,77,3
55,78,8
56,79,3
57,80,2
58,81,4
59,83,4
60,84,2
61,85,1
62,86,6
63,87,2
64,88,1
65,89,1
66,90,3
67,91,2
68,93,2
69,95,1
70,96,1
71,97,2
72,98,2
73,99,1
74,100,2
75,101,2
76,102,1
77,103,1
78,105,1
79,106,2
80,107,1
81,108,4
82,110,5
83,111,4
84,112,3
85,113,4
86,115,4
87,116,4
88,117,3
89,118,2
90,119,2
91,120,4
92,121,3
93,123,3
94,125,3
95,126,3
96,128,4
97,130,1
98,131,3
99,133,2
100,134,3
101,135,1
102,136,7
103,138,3
104,139,2
105,140,2
106,141,3
107,144,1
108,145,2
109,146,5
110,147,1
111,148,5
112,150,2
113,151,2
114,152,2
115,153,2
116,154,2
117,155,1
118,156,4
119,157,3
120,158,2
121,159,1
122,160,3
123,161,2
124,162,2
125,163,5
126,164,1
127,165,3
128,166,2
129,167,3
130,168,4
131,169,1
132,171,3
133,172,1
134,173,2
135,174,1
136,175,1
137,176,4
138,177,1
139,178,2
140,179,1
141,180,2
142,181,4
143,182,1
144,183,1
145,184,2
146,185,4
147,186,1
148,187,2
149,188,4
150,189,1
151,190,1
152,191,2
153,192,2
154,193,5
155,194,1
156,195,3
157,196,7
158,197,1
159,198,2
160,199,3
161,200,2
162,201,2
163,202,2
164,203,2
165,205,2
166,206,3
167,207,1
168,208,1
169,211,3
170,212,1
171,213,3
172,215,2
173,216,1
174,218,3
175,219,1
176,221,3
177,222,3
178,223,4
179,224,1
180,225,2
181,226,5
